BARCODE,"ASSET DESCRIPTION","SERIAL NO",CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,CATEGORY_5,USAGE_YES/NO,REPUNIT_1,REPUNIT_2,LOCATION_1,LOCATION_2,LOCATION_3,LOCATION_4,"FLOOR NUMBER","ROOM TYPE","VERIFICATION DATE",OWNERSHIP,"DUPLICATE BARCODE","ASSET CONDITION",OWNER,LEASED,"VIN NUMBER","DATE OF VERIFICATION","SUPPLIER NAME","GAMAP FUNDING","GFS FUNDING",QUANTITY,WIDTH,GRADING,DIAMETRE,LENGTH,"FROM NODE","TO NODE","NODE LAYER","START LAT","START LONG","END LAT","END LONG",GIS_ID,"STAND NUMBER","STREET NAME","LAND RENTED (Y/N)","LAND OR IMPROVEMENTS","LAND MATCHED","ERF NUMBER",PORTION,EXTENSION,"TITLE DEED NUMBER","SURVEY GENERAL REFERANCE NO","LAND SIZE","VOTE NUMBER","ORDER NUMBER","ORDER DATE","INVOICE NUMBER","INVOICE DATE","CHEQUE NUMBER","WAS ASSET BROUGHT IN ON A DRC",,"UPDATE STATUS","PREVIOUS CONDITION"
A05905,"PUMP SWITCH",,INFRASTRUCTURE,SEWER,"PUMP SWITCH",STEEL,,NO,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,"REWIL SEWER PLANT",,,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A05973,"WATER TANK",,INFRASTRUCTURE,SEWER,"WATER TANK","STEEL 200,000L",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A05975,"PUMP SWITCH",,INFRASTRUCTURE,SEWER,"PUMP SWITCH",,,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A05974,"METER BOX",,INFRASTRUCTURE,SEWER,"METER BOX","ELECTRO CONTROLS",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A05976,MOTOR,,INFRASTRUCTURE,SEWER,MOTOR,11KW,,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A05977,MOTOR,,INFRASTRUCTURE,SEWER,MOTOR,11KW,,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A05978,"AIR COMPRESSOR",,INFRASTRUCTURE,SEWER,"AIR COMPRESSOR","UNIELECTRIC 2.2KW",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A05981,MOTOR,,INFRASTRUCTURE,SEWER,MOTOR,,,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A05979,"VALVE ACTIVATOR",,INFRASTRUCTURE,SEWER,"VALVE ACTIVATOR","AIR TOQUE",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A05980,"VALVE ACTIVATOR",,INFRASTRUCTURE,SEWER,"VALVE ACTIVATOR","AIR TOQUE",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A05986,FENCING,,INFRASTRUCTURE,SEWER,FENCING,WIRE,,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,166X2M,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A06000,GATE,,INFRASTRUCTURE,SEWER,GATE,"STEEL ",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,2X2M,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A01125,CASHBOX,,"OTHER ASSETS","OFFICE EQUIPMENT",CASHBOX,STEEL,,YES,"FINANCIAL SERVICES",N/A,DEALESVILLE,DEALESVILLE,"MUNICIPAL OFFICES (R0029)","WALK-IN SAFE",A05551,R0032,2012/06/30,"FINANCIAL SERVICES",N/A,,"PULENG LEGEGERU",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"BRAND STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A08030,LAPTOP,LXTK90212784417882000,"OTHER ASSETS","COMPUTER EQUIPMENT",LAPTOP,ACER,,NO,"MUNICIPAL MANAGER",N/A,BOSHOF,BOSHOF,"MUNICIPAL BUILDING","MMD [PA]",N/A,R05720,2012/06/30,"MMD [PA]",N/A,,"N\A",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
A08046,PRINTER,CN998DB15B,"OTHER ASSETS","COMPUTER EQUIPMENT",PRINTER,"HP J4580",,YES,"TECHNICAL SERVICES",N/A,HERTZOGVILLE,HERTZOGVILLE,"MUNICIPAL BUILDING (A06522)",TECHNICAL,A06523,R0049,2012/06/30,"TECHNICAL SERVICES",N/A,,"MR. M SEHLOHO",N/A,N/A,2012/06/30,"COMPUDEN COMPUTERS",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VAN NIEKERK STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23236,YES,"TAKE ON 2011",Unchanged,
A03495,"FILE CABINET",,"OTHER ASSETS","FURNITURE & FITTNGS","FILE CABINET","FOREST WOODEN/GLASS",,YES,"OFFICE OF MAYOR",N/A,BOSHOF,BOSHOF,"MUNICIPAL BUILDING","MAYOR OFFICE",N/A,R0062,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MS. KG MOKHOBO",N/A,N/A,2012/06/30,"OFFICE CREATIONS",N/A,N/A,1.00,N/A,N/A,N/A,0.4X2.7X2.2M,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0101/4413/0000,N/A,N/A,N/A,N/A,22285,YES,"TAKE ON 2011",Unchanged,
A03140,"FILE CABINET",,"OTHER ASSETS","FURNITURE & FITTNGS","FILE CABINET","FOREST WOODEN",,YES,"OFFICE OF MAYOR",N/A,BOSHOF,BOSHOF,"MUNICIPAL BUILDING","MAYOR OFFICE",N/A,R0062,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MS. KG MOKHOBO",N/A,N/A,2012/06/30,"OFFICE CREATIONS",N/A,N/A,1.00,N/A,N/A,N/A,0.4X0.9X2.2M,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0101/4413/0000,N/A,N/A,N/A,N/A,22285,YES,"TAKE ON 2011",Unchanged,
NF,"HEATER OUTDOOR GAS",2011011574,"OTHER ASSETS","OFFICE EQUIPMENT","HEATER OUTDOOR GAS","ALVA GHP14",,N/A,N/A,N/A,BOSHOF,BOSHOF,N/A,,,,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"N\A",N/A,N/A,2012/06/30,"BUILDERS WAREHOUSE",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0101/3809/0000,N/A,N/A,N/A,N/A,23408,YES,"TAKE ON 2011",Unchanged,
NF,CAMERA,,"OTHER ASSETS","OFFICE EQUIPMENT",CAMERA,"SONY CYBERSHOT 9.1MP",,N/A,N/A,N/A,BOSHOF,BOSHOF,N/A,,,,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"N\A",N/A,N/A,2012/06/30,"MAKHONYA TECHNOLOGIES",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0530/5001/0000,N/A,N/A,N/A,N/A,22109,YES,"TAKE ON 2011",Unchanged,
NF,GPS,,"OTHER ASSETS","OFFICE EQUIPMENT",GPS,GARMIN,,N/A,"TECHNICAL SERVICES",N/A,N/A,N/A,N/A,,,,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"N\A",N/A,N/A,2012/06/30,"MAKHONYA TECHNOLOGIES",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0530/5001/0000,N/A,N/A,N/A,N/A,22109,YES,"TAKE ON 2011",Unchanged,
"A0349 5","FILE CABINET",,"OTHER ASSETS","FURNITURE & FITTNGS","FILE CABINET","FOREST WOODEN/GLASS",,YES,"OFFICE OF MAYOR",N/A,BOSHOF,BOSHOF,"MUNICIPAL BUILDING","MAYOR OFFICE",N/A,R0062,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MS. KG MOKHOBO",N/A,N/A,2012/06/30,"OFFICE CREATIONS",N/A,N/A,1.00,N/A,N/A,0.4X2.7X2.2M,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0101/4413/0000,N/A,N/A,N/A,N/A,22285,YES,"TAKE ON 2011",Unchanged,
"A0314 0","FILE CABINET",,"OTHER ASSETS","FURNITURE & FITTNGS","FILE CABINET","FOREST WOODEN",,YES,"OFFICE OF MAYOR",N/A,BOSHOF,BOSHOF,"MUNICIPAL BUILDING","MAYOR OFFICE",N/A,R0062,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MS. KG MOKHOBO",N/A,N/A,2012/06/30,"OFFICE CREATIONS",N/A,N/A,1.00,N/A,N/A,0.4X0.9X2.2M,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0101/4413/0000,N/A,N/A,N/A,N/A,22285,YES,"TAKE ON 2011",Unchanged,
NF,"TABLE SIDE",,"OTHER ASSETS","FURNITURE & FITTNGS","TABLE SIDE",,,N/A,N/A,N/A,N/A,N/A,N/A,,,,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"N\A",N/A,N/A,2012/06/30,"OFFICE CREATIONS",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"BRAND STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0101/4413/0000,N/A,N/A,N/A,N/A,22285,YES,"TAKE ON 2011",Unchanged,
NF,"DESK CONFERENCE",,"OTHER ASSETS","FURNITURE & FITTNGS","DESK CONFERENCE",,,N/A,N/A,N/A,N/A,N/A,N/A,,,,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"N\A",N/A,N/A,2012/06/30,"OFFICE CREATIONS",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"BRAND STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0101/4413/0000,N/A,N/A,N/A,N/A,22285,YES,"TAKE ON 2011",Unchanged,
NF,"BOSTON MAH VENEER",,"OTHER ASSETS","FURNITURE & FITTNGS","BOSTON MAH VENEER",,,N/A,N/A,N/A,N/A,N/A,N/A,,,,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",A03618,,"N\A",N/A,N/A,2012/06/30,"OFFICE CREATIONS",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"BRAND STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0101/4413/0000,N/A,N/A,N/A,N/A,22285,YES,"TAKE ON 2011",Unchanged,
NF,"BOSTON REAR TABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","BOSTON REAR TABLE",,,N/A,N/A,N/A,N/A,N/A,N/A,,,,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"N\A",N/A,N/A,2012/06/30,"OFFICE CREATIONS",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"BRAND STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0101/4413/0000,N/A,N/A,N/A,N/A,22285,YES,"TAKE ON 2011",Unchanged,
NF,PRINTER,,"OTHER ASSETS","OFFICE EQUIPMENT",PRINTER,CANON,,N/A,N/A,N/A,N/A,N/A,N/A,,,,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"N\A",N/A,N/A,2012/06/30,"PROTCO DATA SOLUTIONS",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"BRAND STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0101/4471/0000,N/A,N/A,N/A,2011/01/16,23255,YES,"TAKE ON 2011",Unchanged,
A08069,"TERABYTE EXTERNAL HARD DRIVE",WX81A8176228,"OTHER ASSETS","COMPUTER EQUIPMENT","TERABYTE EXTERNAL HARD DRIVE","EXTERNAL HARD DRIVE",,YES,"MUNICIPAL MANAGER",N/A,BOSHOF,BOSHOF,"MUNICIPAL BUILDING","MUNICIPAL MANGER ",N/A,R0051,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",A08030,,"MR. V MVUNDLA",N/A,N/A,2012/06/30,"PAPRENAX TRADING CC",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7210/7211/7203,N/A,N/A,N/A,N/A,24413,NO,"TAKE ON 2012",Unchanged,
NF,"TERABYTE EXTERNAL HARD DRIVE",,"OTHER ASSETS","COMPUTER EQUIPMENT","TERABYTE EXTERNAL HARD DRIVE","EXTERNAL HARD DRIVE",,N/A,N/A,N/A,N/A,N/A,N/A,,,,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,TECHNICAL,N/A,N/A,2012/06/30,"PAPRENAX TRADING CC",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7210/7211/7203,N/A,N/A,N/A,N/A,24413,NO,"TAKE ON 2012",Unchanged,
A04596,PRINTER,G8GY690685,"OTHER ASSETS","COMPUTER EQUIPMENT",PRINTER,"EPSON P170B",,NO,N/A,N/A,BOSHOF,BOSHOF,"MUNICIPAL BUILDING","STOREROOM 1 ",N/A,R0056,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"TSHIDI TADI",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,
